Asset,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST
Channel,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close
2013-10-01,87.33967590332031,94.93914794921875,165.56333923339844,72.55952453613281,52.42258071899414,214.9375762939453,124.30000305175781,103.80000305175781,186.8979949951172,86.5,79.01699829101562,280.29998779296875
2013-10-02,86.98833465576172,94.75623321533203,164.7032012939453,72.18203735351562,52.710243225097656,210.72010803222656,123.80000305175781,103.5999984741211,185.927001953125,86.05000305175781,79.45059967041016,274.79998779296875
2013-10-03,86.707275390625,94.29890441894531,164.9893035888672,71.97232818603516,51.911136627197266,208.6497039794922,123.4000015258789,103.0999984741211,186.25,85.80000305175781,78.24610137939453,272.1000061035156
2013-10-04,85.93437194824219,92.83549499511719,156.45680236816406,71.55290222167969,51.879150390625,208.80308532714844,122.30000305175781,101.5,176.6179962158203,85.30000305175781,78.1978988647461,272.29998779296875
2013-10-07,84.88037872314453,91.23487854003906,158.03451538085938,71.3012466430664,51.27178955078125,208.57301330566406,120.80000305175781,99.75,178.3990020751953,85.0,77.28240203857422,272.0
2013-10-08,84.59932708740234,89.03976440429688,141.68617248535156,70.46240997314453,51.17592239379883,206.5026397705078,120.4000015258789,97.3499984741211,159.94400024414062,84.0,77.13790130615234,269.29998779296875
2013-10-09,84.6695785522461,91.0062255859375,143.120361328125,70.00105285644531,50.82429122924805,206.88601684570312,120.5,99.5,161.56300354003906,83.44999694824219,76.60790252685547,269.79998779296875
2013-10-10,86.14514923095703,91.46354675292969,143.40650939941406,71.55290222167969,51.84718322753906,210.56674194335938,122.5999984741211,100.0,161.88600158691406,85.30000305175781,78.14969635009766,274.6000061035156
2013-10-11,86.42621612548828,93.38429260253906,144.9842071533203,71.09153747558594,52.16682052612305,211.18019104003906,123.0,102.0999984741211,163.66700744628906,84.75,78.63150024414062,275.3999938964844
2013-10-14,86.21541595458984,92.83549499511719,143.6217803955078,69.58162689208984,52.742225646972656,207.88290405273438,122.69999694824219,101.5,162.12899780273438,82.94999694824219,79.4988021850586,271.1000061035156
2013-10-15,86.707275390625,93.10989379882812,145.7734832763672,70.50435638427734,52.51845169067383,209.26315307617188,123.4000015258789,101.80000305175781,164.55799865722656,84.05000305175781,79.1614990234375,272.8999938964844
2013-10-16,86.63701629638672,93.29280090332031,145.3429718017578,70.71407318115234,52.5504150390625,208.41964721679688,123.30000305175781,102.0,164.07200622558594,84.30000305175781,79.20970153808594,271.79998779296875
2013-10-17,86.35594940185547,91.82939910888672,145.41470336914062,70.54630279541016,53.79701614379883,208.95643615722656,122.9000015258789,100.4000015258789,164.1529998779297,84.0999984741211,81.08869934082031,272.5
2013-10-18,87.19913482666016,93.56719970703125,147.63731384277344,70.83988189697266,54.14863204956055,212.1770782470703,124.0999984741211,102.30000305175781,166.66200256347656,84.44999694824219,81.61869812011719,276.70001220703125
2013-10-21,88.04232025146484,94.84768676757812,147.70904541015625,70.88184356689453,54.97970962524414,212.10037231445312,125.30000305175781,103.69999694824219,166.7429962158203,84.5,82.87139892578125,276.6000061035156
2013-10-22,88.25312042236328,93.75012969970703,150.3621826171875,71.00765228271484,48.36302947998047,211.41024780273438,125.5999984741211,102.5,169.73800659179688,84.6500015258789,72.89800262451172,275.70001220703125
2013-10-23,88.1125717163086,93.75012969970703,149.21499633789062,70.67213439941406,48.68266677856445,213.5572967529297,125.4000015258789,102.5,168.4429931640625,84.25,73.37979888916016,278.5
2013-10-24,88.18284606933594,91.92086791992188,148.42660522460938,66.89735412597656,49.51374816894531,213.3272705078125,125.5,100.5,167.55299377441406,79.75,74.63249969482422,278.20001220703125
2013-10-25,87.76126098632812,88.99402618408203,148.42660522460938,65.42937469482422,50.21698760986328,214.0940704345703,124.9000015258789,97.30000305175781,167.55299377441406,78.0,75.69249725341797,279.20001220703125
2013-10-28,88.04232025146484,89.90866088867188,149.35850524902344,64.968017578125,49.99321365356445,214.5541229248047,125.30000305175781,98.30000305175781,168.60499572753906,77.44999694824219,75.3552017211914,279.79998779296875
2013-10-29,88.1125717163086,89.4056167602539,148.42660522460938,65.42937469482422,50.440696716308594,215.1676025390625,125.4000015258789,97.75,167.55299377441406,78.0,76.02970123291016,280.6000061035156
2013-10-30,87.8315200805664,87.66780853271484,147.70904541015625,66.18434143066406,50.18501281738281,215.47433471679688,125.0,95.8499984741211,166.7429962158203,78.9000015258789,75.64430236816406,281.0
2013-10-31,87.76126098632812,87.43914031982422,147.3502960205078,64.88414001464844,49.99321365356445,214.70750427246094,124.9000015258789,95.5999984741211,166.33799743652344,77.3499984741211,75.3552017211914,280.0
2013-11-01,87.69099426269531,86.79889678955078,146.27487182617188,64.80025482177734,49.92924880981445,213.5572967529297,124.80000305175781,94.9000015258789,165.12399291992188,77.25,75.25879669189453,278.5
2013-11-04,88.32337188720703,86.8903579711914,144.69720458984375,65.00997161865234,50.2808837890625,212.48377990722656,125.69999694824219,95.0,163.34300231933594,77.5,75.78880310058594,277.1000061035156
2013-11-05,88.18284606933594,85.42694854736328,144.69720458984375,65.13579559326172,50.18501281738281,209.03309631347656,125.5,93.4000015258789,163.34300231933594,77.6500015258789,75.64430236816406,272.6000061035156
